day,temperature_2m,apparent_temperature,et0_fao_evapotranspiration,soil_temperature_0_to_7cm
2023-08-12,28.642668,34.06276,0.17878418,29.534332
2023-08-13,28.580168,34.21169,0.16365187,29.336416
2023-08-14,28.284332,33.902546,0.15832555,29.061417
2023-08-15,27.821833,33.34441,0.14991115,28.648916
2023-08-16,28.186417,33.943584,0.17640756,28.955164
2023-08-17,27.171831,33.15118,0.12023213,28.232248
2023-08-18,27.734331,33.700596,0.162927,28.68225
2023-08-19,28.017664,34.119583,0.16719592,29.021833
2023-08-20,27.132248,32.74516,0.13302857,28.205164
2023-08-21,27.728083,33.38626,0.17027134,28.467667
2023-08-22,28.007248,33.83299,0.18158899,28.81975
2023-08-23,28.555166,33.696278,0.20487499,28.950998
2023-08-24,28.7135,34.04153,0.20266725,29.221832
2023-08-25,29.034332,34.848663,0.20493256,29.903084
2023-08-26,28.128082,34.12004,0.16518347,29.3135
2023-08-27,28.5635,34.30351,0.18008791,29.305166
2023-08-28,28.036415,33.7606,0.1573189,28.761415
2023-08-29,28.255165,33.999214,0.17175454,28.796831
2023-08-30,27.569748,33.50763,0.14078043,28.178083
2023-08-31,27.176,33.157192,0.11481342,27.592667
2023-09-01,27.234331,32.892376,0.10906344,27.584333
2023-09-02,26.607248,31.760277,0.08964724,27.013498
2023-09-03,27.180166,32.681076,0.11954918,27.492666
2023-09-04,26.903082,32.514412,0.112371445,27.255165
2023-09-05,27.098915,32.713123,0.124117784,27.386415
2023-09-06,27.746832,33.393837,0.14200875,27.8135
2023-09-07,27.928083,34.18867,0.14944774,28.58225
2023-09-08,28.030167,34.449337,0.1673337,29.036415
2023-09-09,27.280167,32.971478,0.14026828,28.155167
2023-09-10,27.138498,32.820423,0.13499649,27.628082
2023-09-11,27.49475,32.932423,0.14393575,27.882248
2023-09-12,27.350998,32.94863,0.1504261,27.78225
2023-09-13,27.592667,32.918922,0.16846128,27.996832
2023-09-14,27.351,32.8204,0.1490831,28.121832
2023-09-15,26.842667,31.893194,0.12016702,27.246832
2023-09-16,26.95725,32.8948,0.12448742,27.423914
2023-09-17,27.336416,33.424183,0.15122138,28.105165
2023-09-18,28.51975,34.846375,0.18975042,29.13225
2023-09-19,28.371834,34.33071,0.17553407,29.509333
2023-09-20,28.401,34.63255,0.18432434,29.426
2023-09-21,27.586416,33.82521,0.13195844,28.7885
2023-09-22,27.9885,34.39561,0.1698665,29.080168
2023-09-23,27.436417,33.519062,0.15029319,28.615583
2023-09-24,27.586416,33.341213,0.16143687,28.607248
2023-09-25,27.209333,32.70349,0.113771476,28.015581
2023-09-26,26.107248,31.227089,0.090987206,26.825998
2023-09-27,26.634333,32.17661,0.11634154,27.028082
2023-09-28,27.059332,33.104954,0.111504026,27.448915
2023-09-29,28.19475,33.786804,0.16756636,28.717667
2023-09-30,27.155167,32.7628,0.1450851,27.792665
2023-10-01,27.2385,33.485775,0.12856229,27.776
2023-10-02,25.788498,31.674177,0.059702724,26.55725
2023-10-03,26.323915,32.024426,0.110625334,26.901
2023-10-04,27.280167,33.089886,0.15446675,27.671831
2023-10-05,27.801,33.864983,0.16350758,28.228083
2023-10-06,27.901,33.951363,0.17068629,28.53225
2023-10-07,28.423914,34.76319,0.15532403,28.84475
2023-10-08,28.155167,34.30124,0.16009253,29.0635
2023-10-09,28.421831,33.946674,0.16884898,28.746832
2023-10-10,28.034332,34.527378,0.13861375,28.873917
2023-10-11,28.390581,34.604446,0.14944418,29.311417
2023-10-12,28.053083,34.133957,0.14886332,29.461416
2023-10-13,28.036415,34.546726,0.14690608,28.975998
2023-10-14,27.898916,33.875416,0.14358605,29.176
2023-10-15,27.440582,33.448,0.12424156,28.630165
2023-10-16,27.001,33.15711,0.099033974,28.071833
2023-10-17,27.767664,33.616993,0.15568635,28.684332
2023-10-18,27.665583,33.763325,0.14773831,28.6135
2023-10-19,28.126,34.394367,0.15625219,29.101
2023-10-20,28.284332,34.580177,0.16450284,29.051
2023-10-21,27.711416,33.499813,0.14979915,28.751
2023-10-22,27.982248,33.83762,0.16844006,29.109331
2023-10-23,27.49475,33.73901,0.14178626,28.503082
2023-10-24,28.253082,34.38854,0.17632557,29.103083
2023-10-25,27.309332,33.375114,0.13977565,28.496832
2023-10-26,27.628082,33.761047,0.15627822,28.382248
2023-10-27,28.296831,34.529724,0.170002,29.061417
2023-10-28,27.64475,33.74072,0.15037893,28.74475
2023-10-29,27.209333,33.085842,0.14055282,28.384333
2023-10-30,27.571833,33.34074,0.1515452,28.534332
2023-10-31,27.890581,33.898327,0.16714199,28.848915
2023-11-01,27.721832,33.72403,0.15501592,28.825998
2023-11-02,27.453081,33.341473,0.15655969,28.669748
2023-11-03,27.623917,33.538277,0.15843673,28.717667
2023-11-04,27.853083,33.960133,0.14817908,28.584333
2023-11-05,27.815582,33.691605,0.16085644,28.930166
2023-11-06,28.240583,33.939037,0.17553097,28.892668
2023-11-07,27.63225,33.6356,0.15823436,28.603083
2023-11-08,28.051,34.18458,0.15497775,28.842667
2023-11-09,28.255165,34.303726,0.15239649,29.067665
2023-11-10,27.669748,33.773785,0.12812905,28.444748
2023-11-11,27.986418,33.380096,0.15497853,28.517664
2023-11-12,27.786415,33.572353,0.15551592,28.748917
2023-11-13,28.669748,34.500717,0.17234115,29.390581
2023-11-14,28.161415,34.351357,0.1580074,29.215584
2023-11-15,27.546831,33.902596,0.1231193,28.4135
2023-11-16,27.58225,34.254154,0.12967545,28.138498
2023-11-17,26.850998,30.78755,0.17030038,27.78225
2023-11-18,26.253082,29.302849,0.19180155,27.134333
2023-11-19,26.575998,30.598902,0.1704425,27.330164
2023-11-20,26.946833,31.277084,0.16776514,27.559332
2023-11-21,26.803083,31.111086,0.17456649,27.478083
2023-11-22,27.24475,32.59277,0.16923892,27.700998
2023-11-23,26.542665,32.369335,0.108323365,27.3385
2023-11-24,25.086416,28.987185,0.0815323,25.661415
2023-11-25,27.040583,32.17361,0.15431345,27.365583
2023-11-26,27.292665,33.235905,0.14333041,28.001
2023-11-27,26.930166,30.683245,0.1477714,27.592667
2023-11-28,27.398916,31.82856,0.15827836,27.7385
2023-11-29,27.953081,33.486073,0.15731452,28.367666
2023-11-30,28.361418,34.500168,0.16357948,28.886415
2023-12-01,28.00725,33.557175,0.14893472,28.80725
2023-12-02,27.715582,33.45068,0.13915005,28.513498
2023-12-03,27.423914,33.243275,0.13103597,28.073915
2023-12-04,27.55725,33.097122,0.14374174,28.2385
2023-12-05,27.817665,33.377213,0.155484,28.513498
2023-12-06,27.319748,32.93649,0.13556805,28.09475
2023-12-07,27.26975,32.563835,0.15148838,28.14475
2023-12-08,27.311417,32.90566,0.11911144,27.888498
2023-12-09,27.859331,32.99879,0.15056206,28.501
2023-12-10,27.759333,32.832096,0.1589458,28.46975
2023-12-11,28.200998,33.1471,0.1696096,28.821833
2023-12-12,28.13225,32.560417,0.17265911,28.855165
2023-12-13,28.3635,33.22542,0.15327947,29.1135
2023-12-14,29.153084,33.553627,0.20135123,29.855165
2023-12-15,28.513498,33.386875,0.17094986,29.40725
